,region_name,Country,EU Region,GDP,GDP per Capita,Unemployment %,Life Expectancy,Doctors per 100K,Heart Disease Deaths per 100K,Cancer Deaths per 100K,Fatal Road Accidents per Million,Tertiary Educational Attainment %,Population Density,People at Risk of Poverty %,Regular Internet Users %,pc_1,pc_2
172,Drenthe,NL,Western Europe,19.58,39100.00,2.90,80.80,306.06,54.86,271.08,78.00,36.60,187.20,15.90,92.44,9.33,-2.88
173,Overijssel,NL,Western Europe,56.28,47800.00,3.30,81.40,283.67,49.12,266.18,55.00,40.90,350.40,15.00,91.99,9.21,-2.88
174,Gelderland,NL,Western Europe,99.96,47100.00,3.50,81.60,387.17,49.73,257.66,49.00,42.40,424.40,15.20,93.26,9.07,-3.01
175,Flevoland,NL,Western Europe,18.71,42500.00,3.30,81.70,133.03,54.44,254.98,39.00,35.90,306.40,14.40,94.60,9.36,-2.99
176,Noord-Holland,NL,Western Europe,213.84,73000.00,3.60,81.80,493.68,46.63,254.63,32.00,51.60,1064.70,18.70,93.63,8.11,-3.51
177,Zeeland,NL,Western Europe,17.86,45900.00,2.60,82.00,166.09,47.90,244.37,59.00,32.10,215.70,14.60,95.95,9.38,-3.09
178,Noord-Brabant,NL,Western Europe,148.10,56700.00,3.00,81.80,273.73,46.00,256.66,54.00,43.00,526.00,13.70,93.20,9.02,-3.11
179,Limburg (NL),NL,Western Europe,52.20,46500.00,3.60,81.70,373.62,51.93,255.82,49.00,37.80,520.80,16.20,91.40,9.13,-2.74
180,Burgenland,AT,Western Europe,10.32,34400.00,4.30,81.40,447.54,174.67,226.80,64.00,31.40,79.20,7.30,74.10,6.05,-2.30
181,Niederösterreich,AT,Western Europe,69.75,40800.00,4.00,81.10,485.67,151.86,236.73,58.00,34.10,90.40,16.20,80.52,6.17,-2.23
182,Wien,AT,Western Europe,110.70,56500.00,9.20,80.30,705.57,152.90,242.71,9.00,45.60,4941.50,26.20,88.04,8.03,-2.85
183,Kärnten,AT,Western Europe,25.12,44300.00,4.50,81.40,505.16,133.77,219.47,37.00,33.30,60.50,14.90,77.93,6.00,-2.47
184,Steiermark,AT,Western Europe,57.58,45700.00,3.70,81.50,527.62,135.19,229.86,56.00,32.20,77.50,16.80,78.04,6.01,-2.31
185,Oberösterreich,AT,Western Europe,77.40,51100.00,2.90,81.80,437.98,128.56,218.20,53.00,32.40,129.20,11.90,80.41,6.09,-2.52
186,Salzburg,AT,Western Europe,33.80,59700.00,3.00,82.30,597.73,108.80,206.28,34.00,33.20,80.10,11.20,82.30,5.99,-2.63
187,Tirol,AT,Western Europe,39.35,51200.00,3.20,82.50,584.73,139.70,206.95,38.00,31.90,61.40,19.20,83.12,6.06,-2.73
188,Vorarlberg,AT,Western Europe,23.83,58900.00,3.20,82.20,443.28,131.57,208.84,40.00,29.90,159.60,21.60,83.61,6.33,-2.99
189,Małopolskie,PL,Central and Eastern Europe,53.02,15600.00,2.40,78.50,361.94,168.35,271.66,30.00,36.20,220.90,15.00,83.27,8.08,-0.53
190,Śląskie,PL,Central and Eastern Europe,79.87,18300.00,2.20,76.60,373.28,215.55,278.99,35.00,33.00,350.50,10.50,81.77,8.06,-0.16
191,Wielkopolskie,PL,Central and Eastern Europe,64.70,18300.00,2.00,77.30,296.22,125.73,287.79,62.00,28.90,116.90,16.40,81.77,7.66,0.08
192,Zachodniopomorskie,PL,Central and Eastern Europe,23.57,14400.00,2.30,76.70,330.25,118.03,276.72,45.00,33.00,72.90,16.50,82.02,7.75,-0.09
193,Lubuskie,PL,Central and Eastern Europe,14.10,14300.00,5.10,76.50,244.47,170.05,265.23,64.00,28.80,69.20,16.70,82.02,7.42,0.22
194,Dolnośląskie,PL,Central and Eastern Europe,55.24,18900.00,3.50,76.70,379.83,263.15,283.62,48.00,36.10,142.50,12.10,78.90,8.15,0.05
195,Opolskie,PL,Central and Eastern Europe,13.10,14200.00,2.70,77.50,259.95,236.34,264.12,69.00,28.00,96.60,13.80,82.02,7.56,0.13
196,Kujawsko-pomorskie,PL,Central and Eastern Europe,28.83,14500.00,3.90,76.80,308.83,211.41,286.87,51.00,28.20,110.90,19.90,82.02,7.73,0.30
197,Warmińsko-mazurskie,PL,Central and Eastern Europe,16.57,12500.00,3.40,76.40,268.43,114.41,274.44,61.00,28.00,57.00,23.80,77.16,7.31,0.38
198,Pomorskie,PL,Central and Eastern Europe,40.86,17300.00,1.90,77.40,356.16,326.40,281.19,43.00,38.60,129.80,16.20,80.39,8.20,0.32
199,Łódzkie,PL,Central and Eastern Europe,39.87,16500.00,3.50,76.10,415.31,126.32,262.73,68.00,30.40,129.80,17.40,82.56,7.59,-0.04
200,Świętokrzyskie,PL,Central and Eastern Europe,14.76,12800.00,3.80,77.00,319.53,152.56,261.58,56.00,30.90,97.80,16.60,79.93,7.41,0.08
201,Lubelskie,PL,Central and Eastern Europe,24.39,12300.00,4.80,77.30,389.82,361.09,241.56,59.00,29.80,78.50,25.30,77.16,7.54,1.25
202,Podkarpackie,PL,Central and Eastern Europe,24.73,12400.00,4.70,78.50,291.07,159.73,227.12,43.00,30.60,111.00,19.00,77.16,7.09,-0.30
203,Podlaskie,PL,Central and Eastern Europe,14.97,13600.00,2.50,77.90,411.83,281.94,248.93,61.00,34.70,54.30,25.60,79.73,7.20,0.90
204,Warszawski stołeczny,PL,Central and Eastern Europe,115.82,33900.00,2.00,78.80,581.71,109.97,255.30,32.00,57.70,542.70,7.70,79.73,8.38,-1.79
205,Mazowiecki regionalny,PL,Central and Eastern Europe,37.30,16500.00,3.70,76.30,214.35,139.28,267.26,83.00,29.70,75.80,18.00,82.56,7.57,0.15
206,Norte,PT,Southern Europe,72.46,20000.00,6.00,82.50,585.45,41.98,218.50,48.00,25.80,171.70,23.90,75.13,5.83,-4.56
207,Algarve,PT,Southern Europe,11.98,25300.00,6.00,80.80,429.56,72.10,236.71,97.00,25.30,96.10,25.70,82.23,6.54,-7.49
208,Região Autónoma dos Açores,PT,Southern Europe,4.86,20300.00,6.10,78.00,397.12,85.38,320.44,59.00,16.60,103.90,30.30,81.50,7.20,0.24
209,Região Autónoma da Madeira,PT,Southern Europe,6.27,24700.00,6.80,79.30,520.58,70.56,263.19,52.00,22.20,317.10,30.20,81.26,6.65,-1.14
210,Nord-Vest,RO,Central and Eastern Europe,34.15,13500.00,3.10,75.30,367.64,472.35,255.78,73.00,18.20,74.30,27.40,81.68,7.68,1.44
211,Centru,RO,Central and Eastern Europe,30.42,13400.00,5.40,75.50,358.88,385.72,248.32,63.00,18.90,67.00,31.70,80.60,7.54,1.53
212,Nord-Est,RO,Central and Eastern Europe,28.40,8800.00,6.60,74.60,286.25,270.81,252.35,94.00,14.00,88.30,38.20,70.87,7.36,2.06
213,Sud-Est,RO,Central and Eastern Europe,27.36,11600.00,7.30,74.40,238.99,265.44,265.35,100.00,14.00,70.00,46.90,73.73,7.32,2.08
214,Sud-Muntenia,RO,Central and Eastern Europe,32.48,11400.00,7.90,74.60,167.10,302.26,231.42,96.00,13.70,84.10,37.10,72.11,7.45,2.14
215,Bucureşti-Ilfov,RO,Central and Eastern Europe,81.89,35900.00,2.70,76.60,765.40,296.23,271.45,42.00,42.20,1299.40,19.20,87.51,8.19,-1.76
216,Sud-Vest Oltenia,RO,Central and Eastern Europe,22.01,11800.00,8.80,75.50,338.81,261.13,203.74,123.00,17.60,65.10,44.70,74.70,7.28,2.11
217,Vest,RO,Central and Eastern Europe,24.85,14900.00,3.70,75.00,517.04,312.11,257.62,99.00,18.30,52.40,29.50,77.06,7.35,1.62
218,Vzhodna Slovenija,SI,Central and Eastern Europe,24.22,21900.00,4.20,80.60,291.00,91.97,282.27,45.00,35.70,89.70,14.50,83.31,8.24,-0.65
219,Zahodna Slovenija,SI,Central and Eastern Europe,32.69,32500.00,3.80,82.20,387.98,74.24,281.20,35.00,45.10,128.80,12.10,88.24,9.08,-2.55
220,Bratislavský kraj,SK,Central and Eastern Europe,31.21,42500.00,2.30,79.10,661.95,321.48,271.25,41.00,47.00,359.20,10.90,88.20,8.19,-1.66
221,Západné Slovensko,SK,Central and Eastern Europe,32.71,18000.00,4.10,77.10,281.26,391.06,289.06,55.00,24.80,121.90,12.60,82.34,8.34,0.82
222,Stredné Slovensko,SK,Central and Eastern Europe,22.52,17200.00,6.60,76.70,349.49,441.53,276.00,50.00,26.60,80.80,17.00,80.86,8.06,1.23
223,Východné Slovensko,SK,Central and Eastern Europe,23.65,14900.00,10.20,76.40,363.15,359.31,276.30,45.00,28.20,101.40,23.10,82.58,7.97,1.15
224,Länsi-Suomi,FI,Northern Europe,59.06,42700.00,6.30,81.20,349.00,137.43,208.22,47.00,40.70,23.70,18.02,90.09,8.25,-5.00
225,Helsinki-Uusimaa,FI,Northern Europe,104.09,60400.00,6.70,81.70,583.41,118.33,210.67,20.00,50.50,189.50,13.70,95.33,8.18,-4.45
226,Etelä-Suomi,FI,Northern Europe,48.51,42400.00,7.60,81.20,353.18,137.59,211.03,38.00,37.30,36.40,17.40,90.75,8.16,-4.98
227,Pohjois- ja Itä-Suomi,FI,Northern Europe,52.90,41500.00,6.70,80.60,341.16,166.18,204.64,42.00,38.20,6.20,17.30,89.34,8.05,-5.16
228,Åland,FI,Northern Europe,1.48,48900.00,4.04,83.10,392.23,117.23,230.61,0.00,36.10,19.50,16.92,91.33,7.96,-4.89
229,Stockholm,SE,Northern Europe,171.87,70500.00,7.00,84.00,520.90,63.67,195.74,7.00,57.40,372.10,15.30,96.23,8.12,-4.30
230,Östra Mellansverige,SE,Northern Europe,79.68,45200.00,9.50,82.90,379.31,93.14,215.26,25.00,45.40,45.70,20.50,93.91,8.16,-5.00
231,Småland med öarna,SE,Northern Europe,39.81,45000.00,6.20,83.50,373.76,107.24,202.26,38.00,40.30,26.60,19.10,96.64,8.42,-4.99
232,Sydsverige,SE,Northern Europe,70.17,44600.00,9.30,82.70,408.41,83.76,217.26,24.00,49.20,112.80,22.90,96.71,8.01,-4.85
233,Västsverige,SE,Northern Europe,105.95,50400.00,6.40,83.20,392.23,89.95,210.86,23.00,48.80,71.60,17.20,94.75,8.19,-4.74
234,Norra Mellansverige,SE,Northern Europe,36.95,42800.00,7.70,82.70,349.00,93.54,208.30,26.00,38.30,13.50,19.90,91.30,8.22,-5.12
235,Mellersta Norrland,SE,Northern Europe,17.94,47500.00,6.60,82.20,295.63,106.74,216.16,21.00,42.90,5.30,18.90,84.04,8.14,-5.42
236,Övre Norrland,SE,Northern Europe,29.30,55600.00,5.20,82.30,377.53,111.36,204.15,36.00,43.80,3.50,16.50,90.90,8.43,-4.91
